identity,species,leakage_aware_split,image_count
ATRW_9,tiger,train,22
ATRW_90,tiger,validation,11
ATRW_91,tiger,train,11
ATRW_93,tiger,train,24
ATRW_94,tiger,train,10
ATRW_96,tiger,validation,12
ATRW_97,tiger,train,22
ATRW_99,tiger,train,40
AerialCattle2017_0,cow,test,68
AerialCattle2017_1,cow,train,9
AerialCattle2017_10,cow,validation,84
AerialCattle2017_11,cow,train,16
AerialCattle2017_12,cow,validation,16
AerialCattle2017_13,cow,validation,29
AerialCattle2017_14,cow,test,32
AerialCattle2017_15,cow,train,247
AerialCattle2017_16,cow,train,195
AerialCattle2017_17,cow,train,59
AerialCattle2017_18,cow,validation,22
AerialCattle2017_19,cow,validation,107
AerialCattle2017_2,cow,train,35
AerialCattle2017_20,cow,train,188
AerialCattle2017_21,cow,validation,91
AerialCattle2017_22,cow,validation,45
AerialCattle2017_3,cow,train,157
AerialCattle2017_4,cow,test,239
AerialCattle2017_5,cow,train,58
AerialCattle2017_6,cow,train,181
AerialCattle2017_7,cow,train,116
AerialCattle2017_8,cow,train,69
AerialCattle2017_9,cow,validation,266
AmvrakikosTurtles_1,sea turtle,train,4
AmvrakikosTurtles_10,sea turtle,train,4
AmvrakikosTurtles_11,sea turtle,train,4
AmvrakikosTurtles_12,sea turtle,train,4
AmvrakikosTurtles_13,sea turtle,test,4
AmvrakikosTurtles_14,sea turtle,train,4
AmvrakikosTurtles_15,sea turtle,train,4
AmvrakikosTurtles_16,sea turtle,train,4
AmvrakikosTurtles_17,sea turtle,train,4
AmvrakikosTurtles_18,sea turtle,train,4
AmvrakikosTurtles_19,sea turtle,train,4
AmvrakikosTurtles_2,sea turtle,train,4
AmvrakikosTurtles_20,sea turtle,train,4
AmvrakikosTurtles_21,sea turtle,train,4
AmvrakikosTurtles_22,sea turtle,train,4
AmvrakikosTurtles_23,sea turtle,train,4
AmvrakikosTurtles_24,sea turtle,train,4
AmvrakikosTurtles_25,sea turtle,train,4
AmvrakikosTurtles_26,sea turtle,test,4
AmvrakikosTurtles_27,sea turtle,train,4
AmvrakikosTurtles_28,sea turtle,train,4
AmvrakikosTurtles_29,sea turtle,train,4
AmvrakikosTurtles_3,sea turtle,train,4
AmvrakikosTurtles_30,sea turtle,validation,4
AmvrakikosTurtles_31,sea turtle,test,4
AmvrakikosTurtles_32,sea turtle,train,4
AmvrakikosTurtles_33,sea turtle,validation,4
AmvrakikosTurtles_34,sea turtle,train,4
AmvrakikosTurtles_35,sea turtle,train,4
AmvrakikosTurtles_36,sea turtle,train,4
AmvrakikosTurtles_37,sea turtle,train,4
AmvrakikosTurtles_38,sea turtle,train,4
AmvrakikosTurtles_39,sea turtle,train,4
AmvrakikosTurtles_4,sea turtle,train,4
AmvrakikosTurtles_40,sea turtle,train,4
AmvrakikosTurtles_41,sea turtle,train,4
AmvrakikosTurtles_42,sea turtle,train,4
AmvrakikosTurtles_43,sea turtle,train,4
AmvrakikosTurtles_44,sea turtle,test,4
AmvrakikosTurtles_45,sea turtle,test,4
AmvrakikosTurtles_46,sea turtle,test,4
AmvrakikosTurtles_47,sea turtle,train,4
AmvrakikosTurtles_48,sea turtle,train,4
AmvrakikosTurtles_49,sea turtle,test,4
AmvrakikosTurtles_5,sea turtle,train,4
AmvrakikosTurtles_50,sea turtle,test,4
AmvrakikosTurtles_6,sea turtle,train,4
AmvrakikosTurtles_7,sea turtle,train,4
AmvrakikosTurtles_8,sea turtle,train,4
AmvrakikosTurtles_9,sea turtle,train,4
BelugaID_whale000,whale,train,2
BelugaID_whale001,whale,train,12
BelugaID_whale002,whale,test,7
BelugaID_whale003,whale,train,40
BelugaID_whale004,whale,train,19
BelugaID_whale005,whale,train,12
BelugaID_whale006,whale,test,9
BelugaID_whale007,whale,validation,43
BelugaID_whale008,whale,train,34
BelugaID_whale009,whale,train,45
BelugaID_whale010,whale,validation,97
BelugaID_whale011,whale,train,22
BelugaID_whale012,whale,train,16
BelugaID_whale013,whale,train,64
BelugaID_whale014,whale,train,11
BelugaID_whale015,whale,train,117
BelugaID_whale016,whale,train,11
BelugaID_whale017,whale,train,11
BelugaID_whale018,whale,train,31
BelugaID_whale019,whale,train,10
BelugaID_whale020,whale,train,4
BelugaID_whale021,whale,train,9
BelugaID_whale022,whale,train,62
BelugaID_whale023,whale,test,6
BelugaID_whale024,whale,train,61
BelugaID_whale025,whale,train,13
BelugaID_whale026,whale,train,17
BelugaID_whale027,whale,train,29
BelugaID_whale028,whale,test,74
BelugaID_whale029,whale,test,17
BelugaID_whale030,whale,validation,16
BelugaID_whale031,whale,test,4
BelugaID_whale032,whale,train,13
BelugaID_whale033,whale,validation,19
BelugaID_whale034,whale,train,36
BelugaID_whale035,whale,train,58
BelugaID_whale036,whale,train,87
BelugaID_whale037,whale,train,45
BelugaID_whale038,whale,train,15
BelugaID_whale039,whale,validation,19
BelugaID_whale040,whale,train,12
BelugaID_whale041,whale,test,35
BelugaID_whale042,whale,train,13
BelugaID_whale043,whale,train,3
BelugaID_whale044,whale,test,3
BelugaID_whale045,whale,train,25
BelugaID_whale046,whale,train,2
BelugaID_whale047,whale,train,21
BelugaID_whale048,whale,train,2
BelugaID_whale049,whale,validation,34
BelugaID_whale050,whale,train,44
BelugaID_whale051,whale,train,2
BelugaID_whale052,whale,train,3
BelugaID_whale053,whale,train,50
BelugaID_whale054,whale,validation,4
BelugaID_whale055,whale,validation,32
BelugaID_whale056,whale,validation,25
BelugaID_whale057,whale,train,12
BelugaID_whale058,whale,train,6
BelugaID_whale059,whale,train,52
BelugaID_whale060,whale,validation,19
BelugaID_whale061,whale,train,18
BelugaID_whale062,whale,train,98
BelugaID_whale063,whale,test,4
BelugaID_whale064,whale,train,23
BelugaID_whale065,whale,test,13
BelugaID_whale066,whale,validation,106
BelugaID_whale067,whale,test,66
BelugaID_whale068,whale,train,7
BelugaID_whale069,whale,validation,32
BelugaID_whale070,whale,validation,20
BelugaID_whale071,whale,train,19
BelugaID_whale072,whale,test,31
BelugaID_whale073,whale,validation,66
BelugaID_whale074,whale,train,18
BelugaID_whale075,whale,train,56
BelugaID_whale076,whale,validation,3
BelugaID_whale077,whale,validation,69
BelugaID_whale078,whale,validation,5
BelugaID_whale079,whale,validation,3
BelugaID_whale080,whale,train,15
BelugaID_whale081,whale,test,14
BelugaID_whale082,whale,train,82
BelugaID_whale083,whale,train,3
BelugaID_whale084,whale,test,25
BelugaID_whale085,whale,train,8
BelugaID_whale086,whale,validation,12
BelugaID_whale087,whale,train,35
BelugaID_whale088,whale,train,17
BelugaID_whale089,whale,train,14
BelugaID_whale090,whale,validation,4
BelugaID_whale091,whale,train,31
BelugaID_whale092,whale,train,13
BelugaID_whale093,whale,train,128
BelugaID_whale094,whale,train,4
BelugaID_whale095,whale,train,8
BelugaID_whale096,whale,train,22
BelugaID_whale097,whale,validation,25
BelugaID_whale098,whale,train,33
BelugaID_whale099,whale,train,9
BelugaID_whale100,whale,train,8
BelugaID_whale101,whale,test,7
BelugaID_whale102,whale,train,7
BelugaID_whale103,whale,train,14
BelugaID_whale104,whale,train,5
BelugaID_whale105,whale,train,8
BelugaID_whale106,whale,train,10
BelugaID_whale107,whale,train,38
BelugaID_whale108,whale,validation,47
BelugaID_whale109,whale,validation,27
BelugaID_whale110,whale,train,53
BelugaID_whale111,whale,train,15
BelugaID_whale112,whale,train,49
BelugaID_whale113,whale,train,38
BelugaID_whale114,whale,train,3
BelugaID_whale115,whale,train,57
BelugaID_whale116,whale,train,22
BelugaID_whale117,whale,train,4
BelugaID_whale118,whale,test,48
BelugaID_whale119,whale,train,5
BelugaID_whale120,whale,test,15
BelugaID_whale121,whale,train,17
BelugaID_whale122,whale,train,24
BelugaID_whale123,whale,train,3
BelugaID_whale124,whale,train,5
BelugaID_whale125,whale,train,25
BelugaID_whale126,whale,train,38
BelugaID_whale127,whale,train,12
BelugaID_whale128,whale,train,4
BelugaID_whale129,whale,train,6
BelugaID_whale130,whale,train,15
BelugaID_whale131,whale,validation,18
BelugaID_whale132,whale,test,14
BelugaID_whale133,whale,test,44
BelugaID_whale134,whale,train,4
BelugaID_whale135,whale,validation,8
BelugaID_whale136,whale,test,41
BelugaID_whale137,whale,test,3
BelugaID_whale138,whale,train,8
BelugaID_whale139,whale,train,5
BelugaID_whale140,whale,test,6
BelugaID_whale141,whale,train,12
BelugaID_whale142,whale,train,27
BelugaID_whale143,whale,train,51
BelugaID_whale144,whale,train,7
BelugaID_whale145,whale,validation,20
BelugaID_whale146,whale,train,15
BelugaID_whale147,whale,train,11
BelugaID_whale148,whale,test,32
BelugaID_whale149,whale,train,3
BelugaID_whale150,whale,train,2
BelugaID_whale151,whale,train,4
BelugaID_whale152,whale,train,46
BelugaID_whale153,whale,train,39
BelugaID_whale154,whale,train,3
BelugaID_whale155,whale,test,65
BelugaID_whale156,whale,train,4
BelugaID_whale157,whale,train,34
BelugaID_whale158,whale,test,9
BelugaID_whale159,whale,train,20
BelugaID_whale160,whale,train,3
BelugaID_whale161,whale,train,13
BelugaID_whale162,whale,train,27
BelugaID_whale163,whale,train,11
BelugaID_whale164,whale,test,3
BelugaID_whale165,whale,test,5
BelugaID_whale166,whale,train,8
BelugaID_whale167,whale,train,16
BelugaID_whale168,whale,validation,10
BelugaID_whale169,whale,train,41
BelugaID_whale170,whale,train,16
BelugaID_whale171,whale,train,9
BelugaID_whale172,whale,train,3
BelugaID_whale173,whale,train,13
BelugaID_whale174,whale,test,28
BelugaID_whale175,whale,train,20
BelugaID_whale176,whale,train,12
BelugaID_whale177,whale,train,3
BelugaID_whale178,whale,train,4
BelugaID_whale179,whale,train,7
BelugaID_whale180,whale,train,4
BelugaID_whale181,whale,test,5
BelugaID_whale182,whale,train,7
BelugaID_whale183,whale,train,13
BelugaID_whale184,whale,train,3
BelugaID_whale185,whale,train,5
BelugaID_whale186,whale,train,25
BelugaID_whale187,whale,train,4
BelugaID_whale188,whale,train,9
BelugaID_whale189,whale,train,82
BelugaID_whale190,whale,train,4
BelugaID_whale191,whale,train,6
BelugaID_whale192,whale,validation,5
BelugaID_whale193,whale,validation,24
BelugaID_whale194,whale,train,30
BelugaID_whale195,whale,train,33
BelugaID_whale196,whale,validation,12
BelugaID_whale197,whale,train,25
BelugaID_whale198,whale,train,16
BelugaID_whale199,whale,validation,6
BelugaID_whale200,whale,train,10
BelugaID_whale201,whale,train,10
BelugaID_whale202,whale,train,6
BelugaID_whale203,whale,train,8
BelugaID_whale204,whale,test,15
BelugaID_whale205,whale,train,23
BelugaID_whale206,whale,train,16
BelugaID_whale207,whale,train,2
BelugaID_whale208,whale,test,15
BelugaID_whale209,whale,validation,2
BelugaID_whale210,whale,test,24
BelugaID_whale211,whale,test,8
BelugaID_whale212,whale,validation,14
BelugaID_whale213,whale,validation,11
BelugaID_whale214,whale,train,15
BelugaID_whale215,whale,test,25
BelugaID_whale216,whale,train,7
BelugaID_whale217,whale,train,16
BelugaID_whale218,whale,validation,35
BelugaID_whale219,whale,train,3
BelugaID_whale220,whale,validation,11
BelugaID_whale221,whale,train,6
BelugaID_whale222,whale,train,8
BelugaID_whale223,whale,train,4
BelugaID_whale224,whale,train,5
BelugaID_whale225,whale,train,16
BelugaID_whale226,whale,train,2
BelugaID_whale227,whale,test,2
BelugaID_whale228,whale,train,7
BelugaID_whale229,whale,train,33
BelugaID_whale230,whale,train,20
BelugaID_whale231,whale,test,4
BelugaID_whale232,whale,train,13
BelugaID_whale233,whale,train,34
BelugaID_whale234,whale,test,9
BelugaID_whale235,whale,validation,8
BelugaID_whale236,whale,train,6
BelugaID_whale237,whale,train,6
BelugaID_whale238,whale,train,21
BelugaID_whale239,whale,validation,7
BelugaID_whale240,whale,train,7
BelugaID_whale241,whale,train,11
BelugaID_whale242,whale,train,20
BelugaID_whale243,whale,train,7
BelugaID_whale244,whale,test,31
BelugaID_whale245,whale,train,7
BelugaID_whale246,whale,train,10
BelugaID_whale247,whale,test,3
BelugaID_whale248,whale,train,30
BelugaID_whale249,whale,train,5
BelugaID_whale250,whale,validation,12
BelugaID_whale251,whale,train,5
BelugaID_whale252,whale,train,11
BelugaID_whale253,whale,train,4
BelugaID_whale254,whale,test,32
BelugaID_whale255,whale,train,20
BelugaID_whale256,whale,train,7
BelugaID_whale257,whale,train,24
BelugaID_whale258,whale,train,4
BelugaID_whale259,whale,test,29
BelugaID_whale260,whale,validation,5
BelugaID_whale261,whale,train,26
BelugaID_whale262,whale,train,3
BelugaID_whale263,whale,train,3
BelugaID_whale264,whale,train,7
BelugaID_whale265,whale,test,2
BelugaID_whale266,whale,validation,2
BelugaID_whale267,whale,train,5
BelugaID_whale268,whale,train,3
BelugaID_whale269,whale,train,8
BelugaID_whale270,whale,train,8
BelugaID_whale271,whale,train,2
BelugaID_whale272,whale,train,22
BelugaID_whale273,whale,train,28
BelugaID_whale274,whale,train,4
BelugaID_whale275,whale,train,16
BelugaID_whale276,whale,train,17
BelugaID_whale277,whale,train,16
BelugaID_whale278,whale,train,9
BelugaID_whale279,whale,train,11
BelugaID_whale280,whale,train,16
BelugaID_whale281,whale,train,24
BelugaID_whale282,whale,train,11
BelugaID_whale283,whale,train,5
BelugaID_whale284,whale,train,15
BelugaID_whale285,whale,train,9
BelugaID_whale286,whale,validation,10
BelugaID_whale287,whale,train,19
BelugaID_whale288,whale,train,7
BelugaID_whale289,whale,train,6
BelugaID_whale290,whale,test,8
BelugaID_whale291,whale,train,11
BelugaID_whale292,whale,validation,3
BelugaID_whale293,whale,train,8
BelugaID_whale294,whale,test,19
BelugaID_whale295,whale,train,7
BelugaID_whale296,whale,validation,12
BelugaID_whale297,whale,train,7
BelugaID_whale298,whale,train,6
BelugaID_whale299,whale,validation,12
BelugaID_whale300,whale,validation,16
BelugaID_whale301,whale,train,3
BelugaID_whale302,whale,test,13
BelugaID_whale303,whale,train,14
BelugaID_whale304,whale,train,3
BelugaID_whale305,whale,train,2
BelugaID_whale306,whale,test,5
BelugaID_whale307,whale,train,54
BelugaID_whale308,whale,train,10
BelugaID_whale309,whale,train,14
BelugaID_whale310,whale,train,4
BelugaID_whale311,whale,test,8
BelugaID_whale312,whale,train,31
BelugaID_whale313,whale,train,13
BelugaID_whale314,whale,test,4
BelugaID_whale315,whale,train,18
BelugaID_whale316,whale,train,17
BelugaID_whale317,whale,train,14
BelugaID_whale318,whale,train,10
BelugaID_whale319,whale,validation,3
BelugaID_whale320,whale,train,8
BelugaID_whale321,whale,train,24
BelugaID_whale322,whale,train,21
BelugaID_whale323,whale,train,7
BelugaID_whale324,whale,train,4
BelugaID_whale325,whale,train,7
BelugaID_whale326,whale,validation,5
BelugaID_whale327,whale,train,6
BelugaID_whale328,whale,test,17
BelugaID_whale329,whale,test,10
BelugaID_whale330,whale,train,20
BelugaID_whale331,whale,validation,10
BelugaID_whale332,whale,train,11
BelugaID_whale333,whale,test,3
BelugaID_whale334,whale,validation,17
BelugaID_whale335,whale,validation,9
BelugaID_whale336,whale,validation,3
BelugaID_whale337,whale,train,4
BelugaID_whale338,whale,test,7
BelugaID_whale339,whale,train,15
BelugaID_whale340,whale,validation,6
BelugaID_whale341,whale,train,20
BelugaID_whale342,whale,test,7
BelugaID_whale343,whale,train,2
BelugaID_whale344,whale,train,3
BelugaID_whale345,whale,train,9
BelugaID_whale346,whale,train,2
BelugaID_whale347,whale,train,11
BelugaID_whale348,whale,train,8
BelugaID_whale349,whale,train,8
BelugaID_whale350,whale,train,5
BelugaID_whale351,whale,validation,12
BelugaID_whale352,whale,validation,3
BelugaID_whale353,whale,train,11
BelugaID_whale354,whale,train,9
BelugaID_whale355,whale,validation,20
BelugaID_whale356,whale,validation,3
BelugaID_whale357,whale,validation,3
BelugaID_whale358,whale,train,8
BelugaID_whale359,whale,train,11
BelugaID_whale360,whale,test,18
BelugaID_whale361,whale,test,6
BelugaID_whale362,whale,validation,5
BelugaID_whale363,whale,test,3
BelugaID_whale364,whale,train,7
BelugaID_whale365,whale,test,6
BelugaID_whale366,whale,train,25
BelugaID_whale367,whale,train,11
BelugaID_whale368,whale,train,5
BelugaID_whale369,whale,train,8
BelugaID_whale370,whale,train,4
BelugaID_whale371,whale,train,3
BelugaID_whale372,whale,train,11
BelugaID_whale373,whale,train,7
BelugaID_whale374,whale,train,5
BelugaID_whale375,whale,validation,2
BelugaID_whale376,whale,train,2
BelugaID_whale377,whale,train,2
BelugaID_whale378,whale,train,6
BelugaID_whale379,whale,train,4
BelugaID_whale380,whale,validation,2
BelugaID_whale381,whale,validation,3
BelugaID_whale382,whale,test,17
BelugaID_whale383,whale,train,2
BelugaID_whale384,whale,train,13
BelugaID_whale385,whale,train,13
BelugaID_whale386,whale,train,4
BelugaID_whale387,whale,train,4
BelugaID_whale388,whale,train,2
BelugaID_whale389,whale,train,4
BelugaID_whale390,whale,train,3
BelugaID_whale391,whale,train,8
BelugaID_whale392,whale,train,4
BelugaID_whale393,whale,test,3
BelugaID_whale394,whale,test,3
BelugaID_whale395,whale,test,19
BelugaID_whale396,whale,validation,17
BelugaID_whale397,whale,train,4
BelugaID_whale398,whale,train,6
BelugaID_whale399,whale,train,6
BelugaID_whale400,whale,train,3
BelugaID_whale401,whale,train,5
BelugaID_whale402,whale,train,11
BelugaID_whale403,whale,train,15
BelugaID_whale404,whale,train,8
BelugaID_whale405,whale,validation,5
BelugaID_whale406,whale,train,22
BelugaID_whale407,whale,train,13
BelugaID_whale408,whale,train,3
BelugaID_whale409,whale,test,11
BelugaID_whale410,whale,train,3
BelugaID_whale411,whale,train,4
BelugaID_whale412,whale,validation,4
BelugaID_whale413,whale,train,2
BelugaID_whale414,whale,train,18
BelugaID_whale415,whale,train,9
BelugaID_whale416,whale,train,2
BelugaID_whale417,whale,train,4
BelugaID_whale418,whale,train,4
BelugaID_whale419,whale,train,4
BelugaID_whale420,whale,validation,4
BelugaID_whale421,whale,train,9
BelugaID_whale422,whale,validation,9
BelugaID_whale423,whale,validation,3
BelugaID_whale424,whale,test,4
BelugaID_whale425,whale,train,3
BelugaID_whale426,whale,train,10
BelugaID_whale427,whale,train,12
BelugaID_whale428,whale,test,4
BelugaID_whale429,whale,test,5
BelugaID_whale430,whale,train,11
BelugaID_whale431,whale,validation,6
BelugaID_whale432,whale,test,15
BelugaID_whale433,whale,test,7
BelugaID_whale434,whale,train,6
BelugaID_whale435,whale,train,3
BelugaID_whale436,whale,test,3
BelugaID_whale437,whale,train,3
BelugaID_whale438,whale,train,11
BelugaID_whale439,whale,validation,23
BelugaID_whale440,whale,train,5
BelugaID_whale441,whale,train,8
BelugaID_whale442,whale,train,5
BelugaID_whale443,whale,test,9
BelugaID_whale444,whale,train,3
BelugaID_whale445,whale,validation,2
BelugaID_whale446,whale,train,3
BelugaID_whale447,whale,train,11
BelugaID_whale448,whale,validation,13
BelugaID_whale449,whale,train,2
BelugaID_whale450,whale,validation,8
BelugaID_whale451,whale,validation,3
BelugaID_whale452,whale,train,3
BelugaID_whale453,whale,test,12
BelugaID_whale454,whale,train,2
BelugaID_whale455,whale,train,3
BelugaID_whale456,whale,train,12
BelugaID_whale457,whale,train,3
BelugaID_whale458,whale,train,10
BelugaID_whale459,whale,train,10
BelugaID_whale460,whale,train,18
BelugaID_whale461,whale,train,8
BelugaID_whale462,whale,validation,18
BelugaID_whale463,whale,train,6
BelugaID_whale464,whale,train,7
BelugaID_whale465,whale,train,6
BelugaID_whale466,whale,train,2
BelugaID_whale467,whale,test,9
BelugaID_whale468,whale,train,3
BelugaID_whale469,whale,train,9
BelugaID_whale470,whale,train,5
BelugaID_whale471,whale,train,3
BelugaID_whale472,whale,train,5
BelugaID_whale473,whale,validation,17
BelugaID_whale474,whale,train,2
BelugaID_whale475,whale,train,27
BelugaID_whale476,whale,train,6
BelugaID_whale477,whale,validation,10
BelugaID_whale478,whale,validation,7
BelugaID_whale479,whale,train,7
BelugaID_whale480,whale,train,9
BelugaID_whale481,whale,test,4
BelugaID_whale482,whale,validation,9
BelugaID_whale483,whale,validation,7
BelugaID_whale484,whale,train,9
BelugaID_whale485,whale,train,3
BelugaID_whale486,whale,train,21
BelugaID_whale487,whale,validation,6
BelugaID_whale488,whale,train,2
BelugaID_whale489,whale,train,2
BelugaID_whale490,whale,test,24
BelugaID_whale491,whale,train,5
BelugaID_whale492,whale,train,5
BelugaID_whale493,whale,train,9
BelugaID_whale494,whale,train,3
BelugaID_whale495,whale,test,13
BelugaID_whale496,whale,train,19
BelugaID_whale497,whale,test,3
BelugaID_whale498,whale,train,3
BelugaID_whale499,whale,train,2
BelugaID_whale500,whale,train,7
BelugaID_whale501,whale,train,13
BelugaID_whale502,whale,train,2
BelugaID_whale503,whale,train,4
BelugaID_whale504,whale,train,5
BelugaID_whale505,whale,train,9
BelugaID_whale506,whale,train,10
BelugaID_whale507,whale,test,15
BelugaID_whale508,whale,train,9
BelugaID_whale509,whale,train,4
BelugaID_whale510,whale,train,14
BelugaID_whale511,whale,train,11
BelugaID_whale512,whale,test,3
BelugaID_whale513,whale,test,6
BelugaID_whale514,whale,train,8
BelugaID_whale515,whale,test,4
BelugaID_whale516,whale,train,5
BelugaID_whale517,whale,validation,3
BelugaID_whale518,whale,validation,2
BelugaID_whale519,whale,test,9
BelugaID_whale520,whale,train,2
BelugaID_whale521,whale,train,3
BelugaID_whale522,whale,train,6
BelugaID_whale523,whale,train,3
BelugaID_whale524,whale,train,3
BelugaID_whale525,whale,test,2
BelugaID_whale526,whale,validation,3
BelugaID_whale527,whale,test,4
BelugaID_whale528,whale,validation,4
BelugaID_whale529,whale,train,4
BelugaID_whale530,whale,test,9
BelugaID_whale531,whale,train,2
BelugaID_whale532,whale,train,3
BelugaID_whale533,whale,validation,3
BelugaID_whale534,whale,train,2
BelugaID_whale535,whale,train,4
BelugaID_whale536,whale,validation,3
BelugaID_whale537,whale,test,11
BelugaID_whale538,whale,test,4
BelugaID_whale539,whale,train,2
BelugaID_whale540,whale,train,4
BelugaID_whale541,whale,train,2
BelugaID_whale542,whale,train,7
BelugaID_whale543,whale,train,6
BelugaID_whale544,whale,train,3
BelugaID_whale545,whale,train,3
BelugaID_whale546,whale,train,9
BelugaID_whale547,whale,validation,2
BelugaID_whale548,whale,validation,3
BelugaID_whale549,whale,test,2
BelugaID_whale550,whale,train,5
BelugaID_whale551,whale,train,3
