identity,species,experiment_split,image_count
ATRW_46,tiger,train,16
ATRW_46,tiger,validation,3
ATRW_48,tiger,test,11
ATRW_48,tiger,train,53
ATRW_48,tiger,validation,8
ATRW_49,tiger,test,20
ATRW_51,tiger,test,2
ATRW_51,tiger,train,7
ATRW_51,tiger,validation,1
ATRW_52,tiger,test,3
ATRW_52,tiger,train,14
ATRW_52,tiger,validation,3
ATRW_54,tiger,test,3
ATRW_54,tiger,train,15
ATRW_54,tiger,validation,1
ATRW_55,tiger,test,3
ATRW_55,tiger,train,16
ATRW_55,tiger,validation,3
ATRW_57,tiger,test,2
ATRW_57,tiger,train,9
ATRW_57,tiger,validation,2
ATRW_6,tiger,test,2
ATRW_6,tiger,train,10
ATRW_6,tiger,validation,2
ATRW_60,tiger,test,2
ATRW_60,tiger,train,9
ATRW_61,tiger,test,5
ATRW_61,tiger,train,22
ATRW_61,tiger,validation,5
ATRW_63,tiger,test,6
ATRW_63,tiger,train,23
ATRW_63,tiger,validation,7
ATRW_64,tiger,test,3
ATRW_64,tiger,train,12
ATRW_64,tiger,validation,3
ATRW_66,tiger,test,3
ATRW_66,tiger,train,13
ATRW_66,tiger,validation,3
ATRW_67,tiger,test,2
ATRW_67,tiger,train,6
ATRW_67,tiger,validation,2
ATRW_69,tiger,test,2
ATRW_69,tiger,train,8
ATRW_69,tiger,validation,2
ATRW_7,tiger,test,7
ATRW_7,tiger,train,34
ATRW_7,tiger,validation,7
ATRW_70,tiger,test,4
ATRW_70,tiger,train,15
ATRW_70,tiger,validation,5
ATRW_72,tiger,test,2
ATRW_72,tiger,train,8
ATRW_72,tiger,validation,3
ATRW_73,tiger,test,58
ATRW_75,tiger,test,3
ATRW_75,tiger,train,16
ATRW_75,tiger,validation,3
ATRW_76,tiger,test,2
ATRW_76,tiger,train,7
ATRW_76,tiger,validation,2
ATRW_78,tiger,test,2
ATRW_78,tiger,train,7
ATRW_78,tiger,validation,4
ATRW_79,tiger,test,4
ATRW_79,tiger,train,18
ATRW_79,tiger,validation,2
ATRW_81,tiger,test,2
ATRW_81,tiger,train,9
ATRW_82,tiger,test,2
ATRW_82,tiger,train,9
ATRW_82,tiger,validation,1
ATRW_84,tiger,test,3
ATRW_84,tiger,train,15
ATRW_84,tiger,validation,4
ATRW_85,tiger,test,2
ATRW_85,tiger,train,8
ATRW_85,tiger,validation,1
ATRW_87,tiger,test,6
ATRW_87,tiger,train,29
ATRW_87,tiger,validation,7
ATRW_88,tiger,test,2
ATRW_88,tiger,train,9
ATRW_9,tiger,test,3
ATRW_9,tiger,train,17
ATRW_9,tiger,validation,2
ATRW_90,tiger,test,2
ATRW_90,tiger,train,7
ATRW_90,tiger,validation,2
ATRW_91,tiger,test,2
ATRW_91,tiger,train,9
ATRW_93,tiger,test,4
ATRW_93,tiger,train,17
ATRW_93,tiger,validation,3
ATRW_94,tiger,test,2
ATRW_94,tiger,train,8
ATRW_96,tiger,test,2
ATRW_96,tiger,train,7
ATRW_96,tiger,validation,3
ATRW_97,tiger,test,3
ATRW_97,tiger,train,16
ATRW_97,tiger,validation,3
ATRW_99,tiger,test,6
ATRW_99,tiger,train,30
ATRW_99,tiger,validation,4
AerialCattle2017_0,cow,test,10
AerialCattle2017_0,cow,train,49
AerialCattle2017_0,cow,validation,9
AerialCattle2017_1,cow,test,1
AerialCattle2017_1,cow,train,4
AerialCattle2017_1,cow,validation,4
AerialCattle2017_10,cow,test,84
AerialCattle2017_11,cow,test,2
AerialCattle2017_11,cow,train,11
AerialCattle2017_11,cow,validation,3
AerialCattle2017_12,cow,test,2
AerialCattle2017_12,cow,train,12
AerialCattle2017_12,cow,validation,2
AerialCattle2017_13,cow,test,4
AerialCattle2017_13,cow,train,19
AerialCattle2017_13,cow,validation,6
AerialCattle2017_14,cow,test,5
AerialCattle2017_14,cow,train,24
AerialCattle2017_14,cow,validation,3
AerialCattle2017_15,cow,test,37
AerialCattle2017_15,cow,train,174
AerialCattle2017_15,cow,validation,36
AerialCattle2017_16,cow,test,29
AerialCattle2017_16,cow,train,137
AerialCattle2017_16,cow,validation,29
AerialCattle2017_17,cow,test,9
AerialCattle2017_17,cow,train,41
AerialCattle2017_17,cow,validation,9
AerialCattle2017_18,cow,test,3
AerialCattle2017_18,cow,train,16
AerialCattle2017_18,cow,validation,3
AerialCattle2017_19,cow,test,16
AerialCattle2017_19,cow,train,83
AerialCattle2017_19,cow,validation,8
AerialCattle2017_2,cow,test,5
AerialCattle2017_2,cow,train,25
AerialCattle2017_2,cow,validation,5
AerialCattle2017_20,cow,test,28
AerialCattle2017_20,cow,train,132
AerialCattle2017_20,cow,validation,28
AerialCattle2017_21,cow,test,13
AerialCattle2017_21,cow,train,63
AerialCattle2017_21,cow,validation,15
AerialCattle2017_22,cow,test,7
AerialCattle2017_22,cow,train,31
AerialCattle2017_22,cow,validation,7
AerialCattle2017_3,cow,test,23
AerialCattle2017_3,cow,train,106
AerialCattle2017_3,cow,validation,28
AerialCattle2017_4,cow,test,35
AerialCattle2017_4,cow,train,182
AerialCattle2017_4,cow,validation,22
AerialCattle2017_5,cow,test,58
AerialCattle2017_6,cow,test,27
AerialCattle2017_6,cow,train,134
AerialCattle2017_6,cow,validation,20
AerialCattle2017_7,cow,test,17
AerialCattle2017_7,cow,train,80
AerialCattle2017_7,cow,validation,19
AerialCattle2017_8,cow,test,10
AerialCattle2017_8,cow,train,55
AerialCattle2017_8,cow,validation,4
AerialCattle2017_9,cow,test,39
AerialCattle2017_9,cow,train,194
AerialCattle2017_9,cow,validation,33
AmvrakikosTurtles_1,sea turtle,test,1
AmvrakikosTurtles_1,sea turtle,train,3
AmvrakikosTurtles_10,sea turtle,test,1
AmvrakikosTurtles_10,sea turtle,train,2
AmvrakikosTurtles_10,sea turtle,validation,1
AmvrakikosTurtles_11,sea turtle,test,1
AmvrakikosTurtles_11,sea turtle,train,2
AmvrakikosTurtles_11,sea turtle,validation,1
AmvrakikosTurtles_12,sea turtle,test,1
AmvrakikosTurtles_12,sea turtle,train,3
AmvrakikosTurtles_13,sea turtle,test,1
AmvrakikosTurtles_13,sea turtle,train,3
AmvrakikosTurtles_14,sea turtle,test,1
AmvrakikosTurtles_14,sea turtle,train,3
AmvrakikosTurtles_15,sea turtle,test,1
AmvrakikosTurtles_15,sea turtle,train,3
AmvrakikosTurtles_16,sea turtle,test,1
AmvrakikosTurtles_16,sea turtle,train,3
AmvrakikosTurtles_17,sea turtle,test,1
AmvrakikosTurtles_17,sea turtle,train,3
AmvrakikosTurtles_18,sea turtle,test,1
AmvrakikosTurtles_18,sea turtle,train,3
AmvrakikosTurtles_19,sea turtle,test,1
AmvrakikosTurtles_19,sea turtle,train,3
AmvrakikosTurtles_2,sea turtle,test,1
AmvrakikosTurtles_2,sea turtle,train,2
AmvrakikosTurtles_2,sea turtle,validation,1
AmvrakikosTurtles_20,sea turtle,test,1
AmvrakikosTurtles_20,sea turtle,train,3
AmvrakikosTurtles_21,sea turtle,test,1
AmvrakikosTurtles_21,sea turtle,train,3
AmvrakikosTurtles_22,sea turtle,test,1
AmvrakikosTurtles_22,sea turtle,train,3
AmvrakikosTurtles_23,sea turtle,test,1
AmvrakikosTurtles_23,sea turtle,train,2
AmvrakikosTurtles_23,sea turtle,validation,1
AmvrakikosTurtles_24,sea turtle,test,1
AmvrakikosTurtles_24,sea turtle,train,3
AmvrakikosTurtles_25,sea turtle,test,1
AmvrakikosTurtles_25,sea turtle,train,1
AmvrakikosTurtles_25,sea turtle,validation,2
AmvrakikosTurtles_26,sea turtle,test,1
AmvrakikosTurtles_26,sea turtle,train,2
AmvrakikosTurtles_26,sea turtle,validation,1
AmvrakikosTurtles_27,sea turtle,test,1
AmvrakikosTurtles_27,sea turtle,train,2
AmvrakikosTurtles_27,sea turtle,validation,1
AmvrakikosTurtles_28,sea turtle,test,1
AmvrakikosTurtles_28,sea turtle,train,2
AmvrakikosTurtles_28,sea turtle,validation,1
AmvrakikosTurtles_29,sea turtle,test,1
AmvrakikosTurtles_29,sea turtle,train,3
AmvrakikosTurtles_3,sea turtle,test,1
AmvrakikosTurtles_3,sea turtle,train,2
AmvrakikosTurtles_3,sea turtle,validation,1
AmvrakikosTurtles_30,sea turtle,test,1
AmvrakikosTurtles_30,sea turtle,train,2
AmvrakikosTurtles_30,sea turtle,validation,1
AmvrakikosTurtles_31,sea turtle,test,1
AmvrakikosTurtles_31,sea turtle,train,3
AmvrakikosTurtles_32,sea turtle,test,1
AmvrakikosTurtles_32,sea turtle,train,3
AmvrakikosTurtles_33,sea turtle,test,1
AmvrakikosTurtles_33,sea turtle,train,3
AmvrakikosTurtles_34,sea turtle,test,1
AmvrakikosTurtles_34,sea turtle,train,2
AmvrakikosTurtles_34,sea turtle,validation,1
AmvrakikosTurtles_35,sea turtle,test,1
AmvrakikosTurtles_35,sea turtle,train,3
AmvrakikosTurtles_36,sea turtle,test,4
AmvrakikosTurtles_37,sea turtle,test,1
AmvrakikosTurtles_37,sea turtle,train,3
AmvrakikosTurtles_38,sea turtle,test,1
AmvrakikosTurtles_38,sea turtle,train,2
AmvrakikosTurtles_38,sea turtle,validation,1
AmvrakikosTurtles_39,sea turtle,test,1
AmvrakikosTurtles_39,sea turtle,train,2
AmvrakikosTurtles_39,sea turtle,validation,1
AmvrakikosTurtles_4,sea turtle,test,1
AmvrakikosTurtles_4,sea turtle,train,2
AmvrakikosTurtles_4,sea turtle,validation,1
AmvrakikosTurtles_40,sea turtle,test,4
AmvrakikosTurtles_41,sea turtle,test,1
AmvrakikosTurtles_41,sea turtle,train,3
AmvrakikosTurtles_42,sea turtle,test,4
AmvrakikosTurtles_43,sea turtle,test,1
AmvrakikosTurtles_43,sea turtle,train,3
AmvrakikosTurtles_44,sea turtle,test,1
AmvrakikosTurtles_44,sea turtle,train,3
AmvrakikosTurtles_45,sea turtle,test,1
AmvrakikosTurtles_45,sea turtle,train,3
AmvrakikosTurtles_46,sea turtle,test,1
AmvrakikosTurtles_46,sea turtle,train,3
AmvrakikosTurtles_47,sea turtle,test,1
AmvrakikosTurtles_47,sea turtle,train,3
AmvrakikosTurtles_48,sea turtle,test,1
AmvrakikosTurtles_48,sea turtle,train,2
AmvrakikosTurtles_48,sea turtle,validation,1
AmvrakikosTurtles_49,sea turtle,test,1
AmvrakikosTurtles_49,sea turtle,train,2
AmvrakikosTurtles_49,sea turtle,validation,1
AmvrakikosTurtles_5,sea turtle,test,1
AmvrakikosTurtles_5,sea turtle,train,2
AmvrakikosTurtles_5,sea turtle,validation,1
AmvrakikosTurtles_50,sea turtle,test,1
AmvrakikosTurtles_50,sea turtle,train,3
AmvrakikosTurtles_6,sea turtle,test,1
AmvrakikosTurtles_6,sea turtle,train,3
AmvrakikosTurtles_7,sea turtle,test,1
AmvrakikosTurtles_7,sea turtle,train,3
AmvrakikosTurtles_8,sea turtle,test,1
AmvrakikosTurtles_8,sea turtle,train,3
AmvrakikosTurtles_9,sea turtle,test,1
AmvrakikosTurtles_9,sea turtle,train,2
AmvrakikosTurtles_9,sea turtle,validation,1
BelugaID_whale000,whale,train,2
BelugaID_whale001,whale,train,10
BelugaID_whale001,whale,validation,2
BelugaID_whale002,whale,test,1
BelugaID_whale002,whale,train,6
BelugaID_whale003,whale,test,5
BelugaID_whale003,whale,train,28
BelugaID_whale003,whale,validation,7
BelugaID_whale004,whale,test,2
BelugaID_whale004,whale,train,15
BelugaID_whale004,whale,validation,2
BelugaID_whale005,whale,train,12
BelugaID_whale006,whale,test,4
BelugaID_whale006,whale,train,4
BelugaID_whale006,whale,validation,1
BelugaID_whale007,whale,test,2
BelugaID_whale007,whale,train,30
BelugaID_whale007,whale,validation,11
BelugaID_whale008,whale,test,31
BelugaID_whale008,whale,train,3
BelugaID_whale009,whale,test,17
BelugaID_whale009,whale,train,27
BelugaID_whale009,whale,validation,1
BelugaID_whale010,whale,test,31
BelugaID_whale010,whale,train,56
BelugaID_whale010,whale,validation,10
BelugaID_whale011,whale,test,2
BelugaID_whale011,whale,train,18
BelugaID_whale011,whale,validation,2
BelugaID_whale012,whale,test,1
BelugaID_whale012,whale,train,14
BelugaID_whale012,whale,validation,1
BelugaID_whale013,whale,test,1
BelugaID_whale013,whale,train,54
BelugaID_whale013,whale,validation,9
BelugaID_whale014,whale,test,3
BelugaID_whale014,whale,train,6
BelugaID_whale014,whale,validation,2
BelugaID_whale015,whale,test,68
BelugaID_whale015,whale,train,40
BelugaID_whale015,whale,validation,9
BelugaID_whale016,whale,test,3
BelugaID_whale016,whale,train,7
BelugaID_whale016,whale,validation,1
BelugaID_whale017,whale,test,3
BelugaID_whale017,whale,train,6
BelugaID_whale017,whale,validation,2
BelugaID_whale018,whale,test,1
BelugaID_whale018,whale,train,27
BelugaID_whale018,whale,validation,3
BelugaID_whale019,whale,train,8
BelugaID_whale019,whale,validation,2
BelugaID_whale020,whale,test,1
BelugaID_whale020,whale,train,2
BelugaID_whale020,whale,validation,1
BelugaID_whale021,whale,train,9
BelugaID_whale022,whale,test,62
BelugaID_whale023,whale,test,1
BelugaID_whale023,whale,train,4
BelugaID_whale023,whale,validation,1
BelugaID_whale024,whale,test,3
BelugaID_whale024,whale,train,51
BelugaID_whale024,whale,validation,7
BelugaID_whale025,whale,test,1
BelugaID_whale025,whale,train,12
BelugaID_whale026,whale,test,1
BelugaID_whale026,whale,train,12
BelugaID_whale026,whale,validation,4
BelugaID_whale027,whale,test,26
BelugaID_whale027,whale,train,3
BelugaID_whale028,whale,test,16
BelugaID_whale028,whale,train,50
BelugaID_whale028,whale,validation,8
BelugaID_whale029,whale,test,1
BelugaID_whale029,whale,train,12
BelugaID_whale029,whale,validation,4
BelugaID_whale030,whale,train,13
BelugaID_whale030,whale,validation,3
BelugaID_whale031,whale,train,3
BelugaID_whale031,whale,validation,1
BelugaID_whale032,whale,test,1
BelugaID_whale032,whale,train,11
BelugaID_whale032,whale,validation,1
BelugaID_whale033,whale,train,16
BelugaID_whale033,whale,validation,3
BelugaID_whale034,whale,test,1
BelugaID_whale034,whale,train,29
BelugaID_whale034,whale,validation,6
BelugaID_whale035,whale,test,58
BelugaID_whale036,whale,test,26
BelugaID_whale036,whale,train,53
BelugaID_whale036,whale,validation,8
BelugaID_whale037,whale,test,2
BelugaID_whale037,whale,train,34
BelugaID_whale037,whale,validation,9
BelugaID_whale038,whale,test,15
BelugaID_whale039,whale,test,1
BelugaID_whale039,whale,train,17
BelugaID_whale039,whale,validation,1
BelugaID_whale040,whale,train,11
BelugaID_whale040,whale,validation,1
BelugaID_whale041,whale,test,1
BelugaID_whale041,whale,train,25
BelugaID_whale041,whale,validation,9
BelugaID_whale042,whale,train,11
BelugaID_whale042,whale,validation,2
BelugaID_whale043,whale,train,3
BelugaID_whale044,whale,test,1
BelugaID_whale044,whale,train,1
BelugaID_whale044,whale,validation,1
